"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","favorites","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","embedded media clicks","app opens","app installs","follows","email tweet","dial phone","video views","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted favorites","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted embedded media clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted video views"
"557914392374030336","https://twitter.com/statsforbios/status/557914392374030336","@tomjwebb Ha! I did NOT notice that! @frod_san","2015-01-21 14:55 +0000","59","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557910515000041474","https://twitter.com/statsforbios/status/557910515000041474","@frod_san Yeah just went through that pdf. It's great. Already lined up for tomorrows tweets!","2015-01-21 14:40 +0000","31","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557908196078399488","https://twitter.com/statsforbios/status/557908196078399488","Really nice overview. RT @frod_san: Teaching course on GLM &amp; GLMM with #rstats. Slides:
HTML http://t.co/LSbMa1Mco7","2015-01-21 14:30 +0000","721","33","0.04576976421636616","4","1","7","1","19","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557905998162436096","https://twitter.com/statsforbios/status/557905998162436096","@frod_san Hadn't seen that vizreg package. Looks interesting.","2015-01-21 14:22 +0000","29","4","0.13793103448275862","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557902329786421248","https://twitter.com/statsforbios/status/557902329786421248","RT @treycausey: caretEnsemble, an awesome new package for creating ensembles of models using caret in R. http://t.co/v5DAwiaCdk #rstats","2015-01-21 14:07 +0000","332","8","0.024096385542168676","0","0","3","0","4","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557901489445040129","https://twitter.com/statsforbios/status/557901489445040129","@statsepi 
&gt; y = function(x) {print(c(sum(x), mean(x)))}
&gt; 2 %&gt;% y
Might be a better way?","2015-01-21 14:04 +0000","24","2","0.08333333333333333","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557901339867766784","https://twitter.com/statsforbios/status/557901339867766784","@statsepi Ah ok. Slightly odd but I get it.","2015-01-21 14:03 +0000","19","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557857440474333185","https://twitter.com/statsforbios/status/557857440474333185","@statsepi This doesn't work for me. Do you have a working real (small) example. 3 %&gt;% {mean sum} doesn't work for example.","2015-01-21 11:09 +0000","66","3","0.045454545454545456","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557701151211417600","https://twitter.com/statsforbios/status/557701151211417600","Started looking at GPUs with R...","2015-01-21 00:48 +0000","246","3","0.012195121951219513","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557670178595811330","https://twitter.com/statsforbios/status/557670178595811330","@CherryMakes just thinking of inappropriate bands. Decapitated. Kids in glass houses?","2015-01-20 22:45 +0000","15","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557660582313488384","https://twitter.com/statsforbios/status/557660582313488384","@klmr @michaelhoffman return between every word?","2015-01-20 22:06 +0000","66","1","0.015151515151515152","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557658594607656961","https://twitter.com/statsforbios/status/557658594607656961","@michaelhoffman Also better for version control. The whole idea shook my world up somewhat though.","2015-01-20 21:59 +0000","136","3","0.022058823529411766","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557579300518789120","https://twitter.com/statsforbios/status/557579300518789120","@millerdl Very mean of you.","2015-01-20 16:43 +0000","18","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557574721374789632","https://twitter.com/statsforbios/status/557574721374789632","Bugs. Bugs everywhere.","2015-01-20 16:25 +0000","354","3","0.00847457627118644","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557552210037731328","https://twitter.com/statsforbios/status/557552210037731328","Make your shiny apps look a bit less shiny like RT @CRANberriesFeed: New CRAN package shinythemes version 1.0 http://t.co/xHIGGaFIT9 #rstats","2015-01-20 14:56 +0000","435","18","0.041379310344827586","0","0","5","0","5","0","8","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557547916928491520","https://twitter.com/statsforbios/status/557547916928491520","@krees Not critical to analysis, but certinaly wasn't just an outlier.","2015-01-20 14:39 +0000","45","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"557547547284471808","https://twitter.com/statsforbios/status/557547547284471808","@krees Turned out all jumped at same time. Sheep were being put in a lorry and moved field, but researchers had no idea.","2015-01-20 14:37 +0000","65","1","0.015384615384615385","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
